ats_vendor,board_token,board_name,n_jobs,n_au,au_ratio,n_au_data,sample_au_role,board_url
ashby,bjakcareer,,3084,106,0.034,63,Product Manager - AI Finance,https://api.ashbyhq.com/posting-api/job-board/bjakcareer
greenhouse,quantium,Quantium,36,29,0.806,15,Data Scientist | Health,https://boards-api.greenhouse.io/v1/boards/quantium/jobs
ashby,xero,,113,40,0.354,10,"Senior Engineer, ML Systems (AI Products)",https://api.ashbyhq.com/posting-api/job-board/xero
smartrecruiters,Canva,Canva,100,45,0.45,8,"Senior Data Scientist - Product, Features & Growth",https://api.smartrecruiters.com/v1/companies/Canva/postings?limit=100
ashby,maincode,,15,14,0.933,8,AI Infrastructure Engineer,https://api.ashbyhq.com/posting-api/job-board/maincode
greenhouse,nice,NICE,176,11,0.062,6,AI Presales Engineer,https://boards-api.greenhouse.io/v1/boards/nice/jobs
smartrecruiters,carsales,carsales,41,41,1.0,5,Senior Data Engineer - Data Platform & Engineering,https://api.smartrecruiters.com/v1/companies/carsales/postings?limit=100
greenhouse,cultureamp,Culture Amp,34,15,0.441,5,Associate Data Scientist,https://boards-api.greenhouse.io/v1/boards/cultureamp/jobs
ashby,relevanceai,,12,6,0.5,5,AI Deployment Strategist,https://api.ashbyhq.com/posting-api/job-board/relevanceai
ashby,airwallex,,586,43,0.073,4,"Senior Software Engineer, AI Tooling (Information Security)",https://api.ashbyhq.com/posting-api/job-board/airwallex
greenhouse,doordashaustralia,DoorDash ANZ,34,29,0.853,4,Commercial Analyst (Enterprise Partnerships),https://boards-api.greenhouse.io/v1/boards/doordashaustralia/jobs
ashby,jellyfishcareers,,51,6,0.118,4,Digital Analytics Specialist,https://api.ashbyhq.com/posting-api/job-board/jellyfishcareers
smartrecruiters,LendiGroup1,Lendi Group,100,41,0.41,3,Senior Data Scientist,https://api.smartrecruiters.com/v1/companies/LendiGroup1/postings?limit=100
greenhouse,firmus,Firmus Technologies ,44,17,0.386,3,"Head of Electrical Engineering, AI Factory Development",https://boards-api.greenhouse.io/v1/boards/firmus/jobs
greenhouse,prezzee,Prezzee,9,9,1.0,3,Senior  Machine Learning Engineer,https://boards-api.greenhouse.io/v1/boards/prezzee/jobs
smartrecruiters,IFS1,IFS,100,5,0.05,3,Sales Executive - AI solutions,https://api.smartrecruiters.com/v1/companies/IFS1/postings?limit=100
greenhouse,eucalyptus,Careers at Eucalyptus,104,23,0.221,2,"Operations Associate, AI",https://boards-api.greenhouse.io/v1/boards/eucalyptus/jobs
greenhouse,zipcolimited,Zip Co Limited,35,21,0.6,2,Senior AI Fullstack Engineer,https://boards-api.greenhouse.io/v1/boards/zipcolimited/jobs
greenhouse,quberesearchandtechnologies,Qube Research & Technologies,197,13,0.066,2,Operations Analyst – Energy Trading,https://boards-api.greenhouse.io/v1/boards/quberesearchandtechnologies/jobs
ashby,coreflow,,11,11,1.0,2,"Growth (Analyst, Junior)",https://api.ashbyhq.com/posting-api/job-board/coreflow
ashby,neara,,36,8,0.222,2,Senior Machine Learning Engineer - Australia,https://api.ashbyhq.com/posting-api/job-board/neara
greenhouse,cresta,Cresta,95,7,0.074,2,AI Deployment Manager ,https://boards-api.greenhouse.io/v1/boards/cresta/jobs
ashby,cognition,,91,5,0.055,2,Applied AI Engineer - ANZ,https://api.ashbyhq.com/posting-api/job-board/cognition
greenhouse,digicert,DigiCert,68,3,0.044,2,Associate Authentication Analyst ,https://boards-api.greenhouse.io/v1/boards/digicert/jobs
greenhouse,neo4j,Neo4j,52,3,0.058,2,Enterprise Account Executive – AI & Financial Services,https://boards-api.greenhouse.io/v1/boards/neo4j/jobs
greenhouse,point72,Point72 ,231,3,0.013,2,Cubist Quantitative Researcher,https://boards-api.greenhouse.io/v1/boards/point72/jobs
greenhouse,andurilindustries,Anduril Industries,2207,59,0.027,1,Senior Machine Learning Engineer,https://boards-api.greenhouse.io/v1/boards/andurilindustries/jobs
greenhouse,easygo,Easygo,33,30,0.909,1,Product Compliance Analyst,https://boards-api.greenhouse.io/v1/boards/easygo/jobs
greenhouse,feverup,FeverUp,612,30,0.049,1,Growth Strategy Analyst,https://boards-api.greenhouse.io/v1/boards/feverup/jobs
smartrecruiters,MyNRMA,My NRMA,100,23,0.23,1,Senior Tax Analyst,https://api.smartrecruiters.com/v1/companies/MyNRMA/postings?limit=100
ashby,upguard,,23,12,0.522,1,Product Data Science Lead,https://api.ashbyhq.com/posting-api/job-board/upguard
greenhouse,ie,IE,11,11,1.0,1,Strategy Consultant - Lab (AI and Frontier Tech),https://boards-api.greenhouse.io/v1/boards/ie/jobs
ashby,Snowflake,,376,10,0.027,1,"Sr. Technical Architect, AI/ML",https://api.ashbyhq.com/posting-api/job-board/Snowflake
greenhouse,jcdecaux,JCDecaux Australia,13,9,0.692,1,Technical Business Analyst (6 month contract),https://boards-api.greenhouse.io/v1/boards/jcdecaux/jobs
ashby,OpenAI,,775,9,0.012,1,Applied AI Engineer,https://api.ashbyhq.com/posting-api/job-board/OpenAI
greenhouse,monks,Monks,354,8,0.023,1,Account Manager - Digital Analytics ,https://boards-api.greenhouse.io/v1/boards/monks/jobs
greenhouse,karbon,Karbon,16,6,0.375,1,Senior AI Engineer,https://boards-api.greenhouse.io/v1/boards/karbon/jobs
greenhouse,podium81,Podium,53,6,0.113,1,Account Executive - AI Software Sales ,https://boards-api.greenhouse.io/v1/boards/podium81/jobs
greenhouse,huntress,Huntress,40,5,0.125,1,Security Operations Analyst,https://boards-api.greenhouse.io/v1/boards/huntress/jobs
smartrecruiters,Bapcor,Bapcor,100,5,0.05,1,Inventory Analyst,https://api.smartrecruiters.com/v1/companies/Bapcor/postings?limit=100
smartrecruiters,bluescope,BlueScope,40,5,0.125,1,AI Engineer,https://api.smartrecruiters.com/v1/companies/bluescope/postings?limit=100
ashby,hercules,,24,4,0.167,1,AI-native Growth Hacker,https://api.ashbyhq.com/posting-api/job-board/hercules
smartrecruiters,Enero,Enero,17,4,0.235,1,Orchard - AI Skills Manager,https://api.smartrecruiters.com/v1/companies/Enero/postings?limit=100
greenhouse,gallup,Gallup,38,3,0.079,1,Consulting Analyst,https://boards-api.greenhouse.io/v1/boards/gallup/jobs
greenhouse,gitlab,GitLab,227,3,0.013,1,Senior Solutions Architect - AI & Platforms SME,https://boards-api.greenhouse.io/v1/boards/gitlab/jobs
greenhouse,portable,Portable,5,3,0.6,1,Technical Operations Analyst,https://boards-api.greenhouse.io/v1/boards/portable/jobs
greenhouse,vivodyne,Vivodyne,4,3,0.75,1,AI Senior Scientist,https://boards-api.greenhouse.io/v1/boards/vivodyne/jobs
greenhouse,zscaler,Zscaler,361,3,0.008,1,Principal AI Security Specialist,https://boards-api.greenhouse.io/v1/boards/zscaler/jobs
ashby,docker,,63,3,0.048,1,"Principal Account Specialist, AI Governance (Sydney Preferred)",https://api.ashbyhq.com/posting-api/job-board/docker
greenhouse,energyexemplarllc,Energy Exemplar ,38,2,0.053,1,Senior Energy Market Analyst ,https://boards-api.greenhouse.io/v1/boards/energyexemplarllc/jobs
greenhouse,equalexperts,Equal Experts,15,2,0.133,1,Senior Data Engineer,https://boards-api.greenhouse.io/v1/boards/equalexperts/jobs
greenhouse,fastly,Fastly,49,2,0.041,1,Threat Detection Analyst (Japanese & English speaking),https://boards-api.greenhouse.io/v1/boards/fastly/jobs
greenhouse,sentinellabs,SentinelOne,227,2,0.009,1,Associate MDR Cyber Security Analyst ,https://boards-api.greenhouse.io/v1/boards/sentinellabs/jobs
greenhouse,sonyinteractiveentertainmentglobal,PlayStation Global,189,2,0.011,1,Network Planner Analyst,https://boards-api.greenhouse.io/v1/boards/sonyinteractiveentertainmentglobal/jobs
greenhouse,thoughtworksreferral,Referrals Only,42,2,0.048,1,Lead Technology Advisory Analyst,https://boards-api.greenhouse.io/v1/boards/thoughtworksreferral/jobs
ashby,magiceden,,4,2,0.5,1,"Senior Risk & Trading Analyst, Sportsbook",https://api.ashbyhq.com/posting-api/job-board/magiceden
ashby,powerline,,5,2,0.4,1,Energy Market Analyst - Australia ,https://api.ashbyhq.com/posting-api/job-board/powerline
smartrecruiters,Cint,Cint,18,2,0.111,1,"Analyst,  Measurement Success, AUS (Bilingual Japanese/English Require",https://api.smartrecruiters.com/v1/companies/Cint/postings?limit=100
