company,domain,segment,ats_vendor,board_token,careers_url,job_count,verified_via,notes,other_hits
Accenture Australia,accenture.com,consultancy,workday,accenture.wd103/AccentureCareers,https://www.accenture.com/au-en/careers,,careers-page-html,accenture.wd103|site=AccentureCareers,workday:accenture
Airtasker,airtasker.com,tech,ashby,airtasker,https://www.airtasker.com/careers/,5,endpoint-200,5 open roles (complete board),
Airwallex,airwallex.com,tech,ashby,airwallex,https://www.airwallex.com/careers,579,endpoint-200,579 open roles (complete board),
ANZ,anz.com,bank,successfactors,,https://www.anz.com/careers/,,careers-page-html,"found via careers-page-html | vendor detected, board token needs manual confirmation",successfactors:performancemanager10; successfactors:rmkcdn; successfactors:career10
Block (Afterpay),block.xyz,fintech,greenhouse,block,https://block.xyz/careers,201,endpoint-200,201 open roles (complete board),
Canva,canva.com,tech,smartrecruiters,canva,https://www.lifeatcanva.com/en/jobs/,265,endpoint-200,265 open roles (complete board),
carsales,carsales.com.au,media,smartrecruiters,carsales,https://careers.carsales.com.au/,41,endpoint-200,41 open roles (complete board),
Cochlear,cochlear.com,health,workday,cochlear.wd3/Cochlear_Careers,https://www.cochlear.com/au/en/corporate/careers,,careers-deep-crawl,cochlear.wd3|site=Cochlear_Careers,workday:cochlear
Coles Group,colesgroup.com.au,retail,successfactors,,https://www.colesgroup.com.au/careers/,,careers-page-html,"found via careers-page-html | vendor detected, board token needs manual confirmation",successfactors:performancemanager10; successfactors:rmkcdn; successfactors:career10
Commonwealth Bank,commbank.com.au,bank,workday,cba.wd3/CommBank_Careers,https://www.commbank.com.au/careers.html,,careers-page-html,cba.wd3|site=CommBank_Careers,workday:cba
Culture Amp,cultureamp.com,tech,greenhouse,cultureamp,https://www.cultureamp.com/company/careers,38,endpoint-200,38 open roles (complete board),
Deputy,deputy.com,tech,lever,deputy,https://www.deputy.com/careers,11,endpoint-200,11 open roles (complete board),
DiUS,dius.com.au,consultancy,teamtailor,dius-1742167156,https://dius.com.au/careers/,,careers-page-html,found via careers-page-html,teamtailor:dius-1742167156
Eucalyptus,eucalyptus.vc,tech,greenhouse,eucalyptus,https://eucalyptus.vc/careers,107,endpoint-200,107 open roles (complete board),
IAG,iag.com.au,insurance,phenom,cdn,https://www.iag.com.au/careers,,careers-page-html,found via careers-page-html,phenom:cdn; phenom:pp-cdn; phenom:content-ir; phenom:cdn-prod-static; phenom:cdn-bot
Immutable,immutable.com,tech,lever,immutable,https://www.immutable.com/careers,7,endpoint-200,7 open roles (complete board),
Judo Bank,judo.bank,fintech,smartrecruiters,judobank,https://www.judo.bank/careers,25,endpoint-200,25 open roles (complete board),
Kogan,kogan.com,tech,lever,kogan,https://www.kogan.com/au/careers/,23,endpoint-200,23 open roles (complete board),
Lorikeet,lorikeetcx.ai,tech,ashby,lorikeet,https://www.lorikeetcx.ai/careers,10,endpoint-200,10 open roles (complete board),
Macquarie Group,macquarie.com,bank,avature,,https://www.macquarie.com/au/en/careers.html,,careers-page-html,"found via careers-page-html | vendor detected, board token needs manual confirmation",avature:avature
Mantel Group,mantelgroup.com.au,consultancy,teamtailor,,https://mantelgroup.com.au/careers/,,careers-page-html,"found via careers-page-html | vendor detected, board token needs manual confirmation",teamtailor:teamtailor
National Australia Bank,nab.com.au,bank,clinch,careers.nab.com.au,https://careers.nab.com.au/,79,sitemap-200,"NOT REGISTERED: the AU board is Clinch (PageUp) at careers.nab.com.au - 79 roles in its robots-declared sitemap, 3 of the 77 title-bearing slugs are data roles (AI Scientist x3; the other 2 URLs are opaque UUIDs). An AWS WAF challenges job pages (202 + gokuProps) at the 5s crawl delay robots.txt asks for and serves them at ~90s, so a full sweep is ~2h for 79 roles - priced out, not blocked. Eightfold tenant is the India delivery centre (0 of 267 roles in AU)",eightfold:nab
Nearmap,nearmap.com,tech,smartrecruiters,nearmap,https://www.nearmap.com/au/en/careers,34,endpoint-200,34 open roles (complete board),
Nine Entertainment,nineforbrands.com.au,media,workday,nine.wd105/Nine_External_Career_Site,https://www.nineforbrands.com.au/careers/,,careers-deep-crawl,nine.wd105|site=Nine_External_Career_Site,workday:nine
Octopus Deploy,octopus.com,tech,greenhouse,octopusdeploy,https://octopus.com/company/careers,4,endpoint-200,4 open roles (complete board),
Pet Circle,petcircle.com.au,tech,teamtailor,petcircle-1744336448,https://www.petcircle.com.au/careers,,careers-page-html,found via careers-page-html,teamtailor:petcircle-1744336448; teamtailor:teamtailor
Prospa,prospa.com,fintech,greenhouse,prospa,https://www.prospa.com/careers,6,endpoint-200,6 open roles (complete board),
Q-CTRL,q-ctrl.com,tech,lever,q-ctrl,https://q-ctrl.com/careers,9,endpoint-200,9 open roles (complete board),
QBE,qbe.com,insurance,phenom,cdn,https://www.qbe.com/careers,,careers-page-html,found via careers-page-html,phenom:cdn; phenom:pp-cdn; phenom:content-ir; phenom:cdn-prod-static; phenom:cdn-bot
Quantium,quantium.com,consultancy,greenhouse,quantium,https://quantium.com/careers/,36,endpoint-200,36 open roles (complete board),
Relevance AI,relevanceai.com,tech,ashby,relevanceai,https://relevanceai.com/careers,12,endpoint-200,12 open roles (complete board),
ResMed,resmed.com,health,smartrecruiters,resmed,https://www.resmed.com/en-us/careers/,2,endpoint-200,2 open roles (complete board),
Rokt,rokt.com,tech,workable,rokt,https://www.rokt.com/careers/,20,endpoint-200,20 open roles (complete board),
SafetyCulture,safetyculture.com,tech,ashby,mitti,https://safetyculture.com/careers/,38,endpoint-200,38 open roles (complete board),ashby:mitti
SEEK,seek.com.au,media,smartrecruiters,seek,https://www.seek.com.au/careers,44,endpoint-200,44 open roles (complete board),
Telstra,telstra.com.au,telco,workday,telstra.wd3/Telstra_Careers,https://careers.telstra.com/,,careers-page-html,telstra.wd3|site=Telstra_Careers,workday:telstra
